RunNumber,BeamEnergy,Threshold

0036,5.0,6.0
0037,5.0,6.0
0038,5.0,6.0
0039,5.0,12.0
0040,5.0,12.0
0041,5.0,12.0
0042,5.0,12.0
0043,5.0,12.0
0044,5.0,12.0
0045,5.0,12.0
0046,5.0,12.0
0047,5.0,12.0
0048,5.0,12.0
0049,5.0,12.0
0050,5.0,12.0
0051,5.0,12.0
0052,5.0,12.0
0053,5.0,12.0
0054,5.0,12.0
0055,5.0,12.0
0056,5.0,12.0
0057,5.0,12.0
0058,5.0,12.0
0059,5.0,12.0
0060,5.0,12.0
0061,5.0,12.0
0062,5.0,12.0
0063,5.0,12.0
0064,5.0,12.0
0065,5.0,12.0
0066,5.0,12.0
0067,5.0,11.0
0068,5.0,11.0
0069,5.0,11.0
0070,5.0,11.0
0071,5.0,10.0
0072,5.0,9.0
0073,5.0,9.0
0074,5.0,9.0
0075,5.0,8.0
0076,5.0,7.0
0077,5.0,5.0
0078,5.0,5.0
0079,5.0,5.0
0080,5.0,4.0
0081,5.0,4.0
0082,5.0,4.0
0083,5.0,4.0
0084,5.0,4.0
0085,5.0,3.0
0086,5.0,3.0
0087,4.4,12.0
0088,4.4,12.0
0089,4.4,12.0
0090,4.4,11.0
0091,4.4,11.0
0092,4.4,10.0
0093,4.4,10.0
0094,4.4,9.0
0095,4.4,9.0
0096,4.4,8.0
0097,4.4,7.0
0098,4.4,6.0
0099,4.4,5.0
0100,4.4,5.0
0101,4.4,4.0
0102,4.4,3.0
0103,4.4,3.0
0104,4.4,3.0
0105,4.4,3.0
0106,4.4,3.0
0107,4.4,3.0
0108,4.4,3.0
0109,4.4,3.0
0110,4.4,3.0
0111,4.4,3.0
0112,4.4,3.0
0113,4.4,3.0
0114,4.4,3.0
0115,4.4,3.0
0116,4.4,3.0
0117,4.4,3.0
0118,4.4,3.0
0119,4.4,3.0
0120,4.4,3.0
0121,4.4,3.0
0122,4.4,3.0
0123,4.4,3.0
0124,4.4,3.0
0125,4.4,3.0
0126,4.4,3.0
0127,4.4,3.0
0128,4.4,3.0
0129,4.4,3.0
0130,4.4,3.0
0131,4.4,3.0
0132,4.4,3.0
0133,4.4,3.0
0134,4.4,3.0
0135,4.4,3.0
0136,4.4,3.0
0137,4.4,3.0
5003,2.0,3.0
5004,2.0,4.0
5005,2.0,4.0
5006,2.0,5.0
5007,2.0,5.0
5008,2.0,6.0
5009,2.0,6.0
5010,2.0,7.0
5011,2.0,7.0
5012,2.0,8.0
5013,2.0,8.0
5014,2.0,8.0
5015,2.0,9.0
5016,2.0,10.0
5017,2.0,11.0
5018,2.0,12.0
5019,3.0,12.0
5020,3.0,11.0
5021,3.0,10.0
5022,3.0,9.0
5023,3.0,8.0
5024,3.0,7.0
5025,3.0,6.0
5026,3.0,5.0
5027,3.0,4.0
5028,3.0,3.0
5029,3.0,3.0
5030,5.0,3.0
5031,5.0,4.0
5032,5.0,5.0
5033,5.0,6.0
5034,5.0,7.0
5035,5.0,8.0
5036,5.0,9.0
5037,2.0,3.0
5039,2.0,4.0
5040,2.0,4.0
5041,2.0,5.0
5042,2.0,5.0
5043,2.0,6.0
5044,2.0,6.0
5045,2.0,7.0
5046,2.0,7.0
5047,2.0,8.0
5048,2.0,8.0
5049,2.0,8.0
5051,2.0,9.0
5052,2.0,10.0
5054,2.0,11.0
5056,2.0,12.0
5057,3.0,12.0
5058,3.0,11.0
5059,3.0,10.0
5060,3.0,9.0
5061,3.0,8.0
5062,3.0,7.0
5063,3.0,6.0
5064,3.0,5.0
5065,3.0,4.0
5066,3.0,3.0
5067,3.0,3.0
5068,5.0,3.0
5069,5.0,4.0
5070,5.0,5.0
5071,5.0,6.0
5073,5.0,7.0
5074,5.0,8.0
5075,5.0,9.0
5076,5.0,10.0
5078,5.0,10.0
5079,5.0,11.0
5080,5.0,12.0


