RunNumber,BeamEnergy,Threshold,GearGeoFile,SIavg,SI1,SI2,SI3,SI4,SI5,SI6,SIg6,kappaValue,targetthick

 1,2.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.0
 2,1.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.0
 3,3.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.0
 4,4.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.0
 5,5.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.0
 7,5.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.025
 9,4.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.025
11,3.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.025
12,2.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.025
13,1.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.025
15,1.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.050
17,2.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.050
18,3.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.050
19,4.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.050
20,5.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.050
22,5.0,5.0,gear_desy2016_20mm_noALU_100.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.100
23,4.0,5.0,gear_desy2016_20mm_noALU_100.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.100
24,3.0,5.0,gear_desy2016_20mm_noALU_100.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.100
26,2.0,5.0,gear_desy2016_20mm_noALU_100.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.100
28,1.0,5.0,gear_desy2016_20mm_noALU_100.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.100
30,1.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
31,2.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
32,2.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
33,3.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
35,4.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
36,5.0,5.0,gear_desy2016_20mm_noALU_200.xml,  0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 0.200
38,5.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
39,4.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
40,4.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
41,3.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
42,2.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
44,1.0,5.0,gear_desy2016_20mm_noALU_1000.xml, 0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000, 1.000
46,1.0,5.0,gear_desy2016_20mm_noALU_10000.xml,0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,10.000
47,2.0,5.0,gear_desy2016_20mm_noALU_10000.xml,0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,10.000
48,3.0,5.0,gear_desy2016_20mm_noALU_10000.xml,0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,10.000
49,4.0,5.0,gear_desy2016_20mm_noALU_10000.xml,0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,10.000
50,5.0,5.0,gear_desy2016_20mm_noALU_10000.xml,0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,10.000
52,1.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
54,2.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
55,3.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
56,4.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
57,5.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
58,5.0,5.0,gear_desy2016_20mm_noALU_0.xml,    0.003240,0.00360,0.00316,0.002855,0.00340,0.00253,0.00270,0.00417,0.751000,0.0130
